episode,score,reward,epsilon,avg_td_loss
1,1,-0.7299999999999969,0.995,1.53612020611763
2,0,-10.21,0.990025,1.5286602885885672
3,0,-10.33,0.985074875,1.1691398432149607
4,0,-10.22,0.9801495006250001,0.7085463676763617
5,0,-10.25,0.9752487531218751,0.7170739320035164
6,1,-0.32999999999999474,0.9703725093562657,1.179916325211525
7,0,-10.41,0.9655206468094844,0.6851420567503997
8,0,-10.08,0.960693043575437,0.7819507469733556
9,0,-10.21,0.9558895783575597,0.534100351008502
10,0,-10.46,0.9511101304657719,0.35672440411562617
11,0,-10.290000000000001,0.946354579813443,0.3987255175908407
12,0,-10.24,0.9416228069143757,0.532735048532486
13,0,-10.31,0.9369146928798039,0.27494650543667376
14,1,-0.4599999999999973,0.9322301194154049,0.33059465590243536
15,0,-10.99,0.9275689688183278,0.625547656416893
16,0,-10.11,0.9229311239742362,0.5452596812198559
17,0,-10.1,0.918316468354365,0.4792271026156165
18,0,-10.08,0.9137248860125932,0.5849734644095103
19,0,-10.2,0.9091562615825302,0.47726354286784217
20,0,-10.09,0.9046104802746175,0.5646031275391579
21,0,-10.370000000000001,0.9000874278732445,0.6727301015665657
22,0,-10.16,0.8955869907338783,1.0182678419000961
23,0,-10.19,0.8911090557802088,1.0850834622979164
24,2,9.449999999999985,0.8866535105013078,1.049469447598375
25,0,-10.42,0.8822202429488013,1.006298774896666
26,0,-10.16,0.8778091417340573,0.958094414542703
27,0,-10.08,0.8734200960253871,1.1125849386056264
28,0,-10.1,0.8690529955452602,1.2826285362243652
29,0,-10.46,0.8647077305675338,0.787559855174511
30,0,-10.290000000000001,0.8603841919146962,0.5726079210639
31,0,-10.09,0.8560822709551227,0.6444462522864342
32,0,-10.23,0.851801859600347,0.5005315809200207
33,0,-10.57,0.8475428503023453,0.580142380220109
34,0,-10.07,0.8433051360508336,0.5336736217141151
35,0,-10.2,0.8390886103705794,0.5782999226025173
36,0,-10.19,0.8348931673187264,0.6489822912961245
37,0,-10.17,0.8307187014821328,0.9126951711045371
38,1,-0.41000000000000014,0.8265651079747222,0.8352965885816619
39,0,-10.21,0.8224322824348486,0.7099321254275062
40,0,-10.09,0.8183201210226743,0.6175968766212463
41,0,-10.46,0.8142285204175609,0.8689883306939551
42,1,-0.09999999999999787,0.810157377815473,0.7971672788262367
43,0,-10.07,0.8061065909263957,0.6653451025485992
44,0,-10.43,0.8020760579717637,0.8907864026047967
45,0,-10.21,0.798065677681905,0.8439922034740448
46,1,-1.3099999999999898,0.7940753492934954,0.7640522320691804
47,2,8.869999999999962,0.7901049725470279,0.71559913379365
48,0,-10.25,0.7861544476842928,0.5671980403936826
49,0,-10.34,0.7822236754458713,0.6783040774720056
50,1,-1.0299999999999905,0.778312557068642,0.7505716939767202
51,0,-10.15,0.7744209942832988,0.5628292644396424
52,0,-10.14,0.7705488893118823,0.6852663685878118
53,0,-10.31,0.7666961448653229,0.5948366690427065
54,1,-0.4999999999999911,0.7628626641409962,0.716194509743498
55,1,-0.769999999999996,0.7590483508202912,0.8319340367105943
56,4,29.67000000000001,0.7552531090661897,0.83237766043136
57,0,-10.06,0.7514768435208588,0.8377331835883004
58,0,-10.33,0.7477194593032545,0.9204065300085965
59,1,-0.16000000000000014,0.7439808620067382,0.8949934475951724
60,3,19.609999999999992,0.7402609576967045,0.7996143573938415
61,0,-10.26,0.736559652908221,1.05078226769412
62,1,-0.21000000000000085,0.7328768546436799,0.8110687758611597
63,1,-0.38999999999999524,0.7292124703704616,0.7280923695099063
64,1,-0.5199999999999942,0.7255664080186093,0.7763117692536778
65,2,9.680000000000007,0.7219385759785162,0.8740854050431933
66,1,-0.2099999999999973,0.7183288830986236,0.8475721089736276
67,0,-10.09,0.7147372386831305,1.2291906595230102
68,1,-0.11999999999999922,0.7111635524897149,1.3841854610613413
69,2,9.84,0.7076077347272662,1.9455593824386597
70,0,-10.58,0.7040696960536299,1.2611701074293105
71,1,-0.4799999999999933,0.7005493475733617,1.3320957005023957
72,0,-10.09,0.697046600835495,1.1034587621688843
73,1,-0.07000000000000028,0.6935613678313175,1.3425087730089824
74,1,-0.5299999999999976,0.6900935609921609,1.188943712277846
75,1,-0.819999999999995,0.6866430931872001,1.1348114194614547
76,0,-10.13,0.6832098777212641,1.4009441350187575
77,1,-0.5799999999999876,0.6797938283326578,1.2898618802428246
78,0,-10.26,0.6763948591909945,1.220251699288686
79,0,-10.64,0.6730128848950395,1.5082630226245293
80,1,-0.24999999999999645,0.6696478204705644,1.7459166756382696
81,0,-10.17,0.6662995813682115,1.6387628548675113
82,1,-0.41999999999999815,0.6629680834613705,1.4333490431308746
83,0,-10.2,0.6596532430440636,1.372094641129176
84,0,-10.19,0.6563549768288433,1.4364176243543625
85,4,29.370000000000005,0.653073201944699,1.7284837777123732
86,1,-0.22999999999999687,0.6498078359349755,1.6421498155593872
87,1,-0.22999999999999865,0.6465587967553006,1.7440753602981567
88,1,-0.34999999999999787,0.6433260027715241,1.959518598543631
89,3,19.7,0.6401093727576664,1.6126220401595621
90,1,-0.0600000000000005,0.6369088258938781,1.2102765813469887
91,0,-10.18,0.6337242817644086,1.6830588641919588
92,1,-0.22000000000000064,0.6305556603555866,1.8175896058479946
93,0,-10.06,0.6274028820538087,1.2772545559065682
94,0,-10.2,0.6242658676435396,1.324918548266093
95,0,-10.14,0.6211445383053219,1.4357207973798116
96,1,-0.10999999999999943,0.6180388156137953,2.2126047702936025
97,2,9.659999999999961,0.6149486215357263,1.7131647209863405
98,1,-0.10999999999999943,0.6118738784280476,2.395179432172042
99,0,-10.19,0.6088145090359074,1.9072475969791411
100,2,9.850000000000001,0.6057704364907278,1.7905950380696192
101,1,-0.35999999999999766,0.6027415843082742,1.9370725452899933
102,1,-0.3000000000000007,0.5997278763867329,1.7646629139780998
103,0,-10.14,0.5967292370047992,1.5713151772816976
104,3,19.839999999999986,0.5937455908197752,1.8812174052000046
105,0,-10.21,0.5907768628656763,1.9244575988162647
106,2,9.109999999999992,0.5878229785513479,1.7763586653315502
107,1,-0.23999999999999844,0.5848838636585911,2.081975166614239
108,1,-0.2799999999999976,0.5819594443402982,2.727022425333659
109,1,-0.2999999999999954,0.5790496471185967,2.4309056624770164
110,1,-0.38999999999999524,0.5761543988830038,2.243732559971693
111,1,-0.1999999999999975,0.5732736268885887,2.526859687133269
112,4,28.93,0.5704072587541458,2.3803237857563153
113,1,-0.43999999999999595,0.567555222460375,2.2562003057935964
114,0,-10.12,0.5647174463480732,2.493874063858619
115,0,-10.2,0.5618938591163328,2.147975129740579
116,0,-10.33,0.5590843898207511,2.090703645173241
117,2,9.55,0.5562889678716474,2.2513115977247558
118,1,-0.08000000000000007,0.5535075230322891,2.4166399955749513
119,1,-0.3799999999999937,0.5507399854171277,2.1653477400541306
120,1,-0.11999999999999922,0.547986285490042,2.176546569381441
121,1,-0.1399999999999988,0.5452463540625918,2.437455266714096
122,2,9.609999999999982,0.5425201222922789,2.1387238942441487
123,1,-0.32999999999999297,0.5398075216808175,2.129906335898808
124,2,9.68999999999999,0.5371084840724134,2.300411641597748
125,1,-0.389999999999997,0.5344229416520513,2.1772703383027054
126,2,9.519999999999985,0.531750826943791,2.254480496341107
127,1,-0.1399999999999988,0.5290920728090721,2.4427196085453033
128,2,9.669999999999998,0.5264466124450268,2.207564772831069
129,2,9.850000000000001,0.5238143793828016,2.330359008577135
130,1,-0.11999999999999922,0.5211953074858876,2.1000737292425975
131,1,-0.259999999999998,0.5185893309484582,2.730311082942145
132,0,-10.28,0.5159963842937159,2.959967378912301
133,1,-0.129999999999999,0.5134164023722473,2.2503084182739257
134,1,-0.14000000000000057,0.510849320360386,2.7560909762978554
135,0,-10.27,0.5082950737585841,2.61473679116794
136,0,-10.36,0.5057535983897912,2.736731503460858
137,1,-0.6399999999999988,0.5032248303978422,2.6057423082264988
138,1,-0.24999999999999467,0.500708706245853,2.102830147301709
139,1,-0.129999999999999,0.4982051627146237,2.239754589398702
